,Okrug,Division,Latitude,Longitude
82,Southern Administrative Okrug,Nagorny,55.666666666666664,37.61666666666667
83,Southern Administrative Okrug,Orekhovo-Borisovo Severnoye,55.61833333333333,37.7
84,Southern Administrative Okrug,Orekhovo-Borisovo Yuzhnoye,55.6,37.733333333333334
85,Southern Administrative Okrug,Tsaritsyno,55.615833333333335,37.67111111111111
86,Southern Administrative Okrug,Zyablikovo,55.833333333333336,37.7
87,South-Western Administrative Okrug,Akademichesky,55.689722222222215,37.573055555555555
88,South-Western Administrative Okrug,Cheryomushki,55.664722222222224,37.56055555555555
89,South-Western Administrative Okrug,Gagarinsky,55.70333333333333,37.56305555555555
90,South-Western Administrative Okrug,Konkovo,55.64083333333333,37.52861111111111
91,South-Western Administrative Okrug,Kotlovka,55.674166666666665,37.59861111111111
92,South-Western Administrative Okrug,Lomonosovsky,55.680277777777775,37.53333333333333
93,South-Western Administrative Okrug,Obruchevsky,55.664722222222224,37.525
94,South-Western Administrative Okrug,Severnoye Butovo,55.56666666666667,37.583333333333336
95,South-Western Administrative Okrug,Tyoply Stan,55.61972222222222,37.49888888888889
96,South-Western Administrative Okrug,Yasenevo,55.58647222222223,37.51766388888889
97,South-Western Administrative Okrug,Yuzhnoye Butovo,55.52295,37.550580555555555
98,South-Western Administrative Okrug,Zyuzino,55.65,37.583333333333336
99,Western Administrative Okrug,Dorogomilovo,55.74055555555556,37.540277777777774
100,Western Administrative Okrug,Filyovsky park,55.74944444444444,37.50138888888889
101,Western Administrative Okrug,Fili-Davydkovo,55.72777777777778,37.467222222222226
102,Western Administrative Okrug,Krylatskoye,55.75,37.416666666666664
103,Western Administrative Okrug,Kuntsevo,55.733333333333334,37.43333333333333
104,Western Administrative Okrug,Mozhaysky,55.71666666666667,37.4
105,Western Administrative Okrug,Novo-Peredelkino,55.641666666666666,37.358333333333334
106,Western Administrative Okrug,Ochakovo-Matveyevskoye,55.69416666666666,37.443888888888885
107,Western Administrative Okrug,Prospekt Vernadskogo,55.676944444444445,37.500277777777775
108,Western Administrative Okrug,Ramenki,55.70666666666667,37.516666666666666
109,Western Administrative Okrug,Solntsevo,55.65361111111111,37.40188888888889
110,Western Administrative Okrug,Troparyovo-Nikulino,55.656666666666666,37.47083333333334
111,Western Administrative Okrug,Vnukovo,55.60305555555556,37.28583333333333
112,North-Western Administrative Okrug,Khoroshyovo-Mnyovniki,55.776944444444446,37.469166666666666
113,North-Western Administrative Okrug,Kurkino,55.89222222222222,37.38861111111111
114,North-Western Administrative Okrug,Mitino,55.84583333333334,37.361111111111114
115,North-Western Administrative Okrug,Pokrovskoye-Streshnevo,55.821111111111115,37.47416666666667
116,North-Western Administrative Okrug,Severnoye Tushino,55.85861111111111,37.44638888888888
117,North-Western Administrative Okrug,Shchukino,55.80222222222222,37.4675
118,North-Western Administrative Okrug,Strogino,55.79361111111111,37.3875
119,North-Western Administrative Okrug,Yuzhnoye Tushino,55.84444444444445,37.43208333333333
120,Zelenogradsky Administrative Okrug,Kryukovo,55.97361111111111,37.16777777777777
121,Zelenogradsky Administrative Okrug,Matushkino,56.00888888888889,37.20527777777778
122,Zelenogradsky Administrative Okrug,Savyolki,55.98972222222222,37.231944444444444
123,Zelenogradsky Administrative Okrug,Silino,55.99888888888889,37.169444444444444
124,Zelenogradsky Administrative Okrug,Staroye Kryukovo,55.987500000000004,37.20194444444445
125,Novomoskovsky Administrative Okrug,Moskovsky,55.61949166666667,37.38621666666667
126,Novomoskovsky Administrative Okrug,Shcherbinka,55.5,37.56666666666667
127,Troitsky Administrative Okrug,Troitsky,55.49138888888889,37.30916666666666
